Owner,Rank,QB,Points,RB,Points,RB,Points,WR,Points,WR,Points,TE,Points,W/R,Points,K,Points,DEF,Points,"BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points","BN,Points",Total,Opponent,Opponent Total
ShamH,1,Patrick Mahomes QB - KC,34.90,Saquon Barkley RB - PHI,27.40,James Conner RB - ARI,11.50,Saquon Barkley RB - PHI,27.40,James Conner RB - ARI,11.50,Cooper Kupp WR - SEA,18.80,Mike Williams WR,1.00,Cooper Kupp WR - SEA,18.80,Mike Williams WR,1.00,Travis Kelce TE - KC,18.10,-,0.00,Matt Gay K - WAS,6.70,Indianapolis Colts DEF - IND,6.00,Brandin Cooks WR - NO,8.20,Kareem Hunt RB - KC,19.00,Gabe Davis WR - BUF,14.80,Darnell Mooney WR - ATL,0.80,Jaylen Waddle WR - MIA,13.70,Dameon Pierce RB - HOU,3.90,-,0.00,191.50,Juschka,143.78
Juschka,4,Josh Allen QB - BUF,31.48,Najee Harris RB - LAC,8.60,Josh Jacobs RB - GB,7.30,Najee Harris RB - LAC,8.60,Josh Jacobs RB - GB,7.30,Ja'Marr Chase WR - CIN,18.90,Mike Evans WR - TB,13.10,Ja'Marr Chase WR - CIN,18.90,Mike Evans WR - TB,13.10,Mike Gesicki TE - CIN,0.10,-,0.00,Matt Prater K - BUF,1.00,Los Angeles Rams DEF - LAR,9.00,Cordarrelle Patterson RB,19.60,Marquez Valdes-Scantling WR,4.10,Hollywood Brown WR - KC,10.30,Mecole Hardman WR,7.60,Diontae Johnson WR,5.50,Tony Pollard RB - TEN,2.20,-,0.00,143.78,ShamH,191.50
kesso,5,Joe Burrow QB - CIN,18.22,Jonathan Taylor RB - IND,23.50,Javonte Williams RB - DAL,8.80,Jonathan Taylor RB - IND,23.50,Javonte Williams RB - DAL,8.80,Keenan Allen WR - LAC,6.60,Michael Pittman WR - IND,18.10,Keenan Allen WR - LAC,6.60,Michael Pittman WR - IND,18.10,Darren Waller TE - MIA,7.90,-,0.00,Harrison Butker K - KC,9.40,Denver Broncos DEF - DEN,5.00,Melvin Gordon RB,5.20,Allen Lazard WR - NYJ,0.00,DeVonta Smith WR - PHI,0.00,Amon-Ra St. Brown WR - DET,12.40,Drake London WR - ATL,7.40,Aaron Rodgers QB - PIT,3.70,-,0.00,133.82,Jottage,110.90
Jottage,8,Russell Wilson QB - NYG,17.80,Christian McCaffrey RB - SF,11.70,Cam Akers RB - MIN,0.00,Christian McCaffrey RB - SF,11.70,Cam Akers RB - MIN,0.00,CeeDee Lamb WR - DAL,2.90,DJ Moore WR - CHI,5.00,CeeDee Lamb WR - DAL,2.90,DJ Moore WR - CHI,5.00,Pat Freiermuth TE - PIT,7.50,-,0.00,Evan McPherson K - CIN,8.90,Tampa Bay Buccaneers DEF - TB,13.00,Allen Robinson WR,1.20,Chris Godwin WR - TB,3.50,George Kittle TE - SF,0.00,Devin Singletary RB - NYG,6.20,Jerry Jeudy WR - CLE,16.20,Rhamondre Stevenson RB - NE,2.70,-,0.00,110.90,kesso,133.82
SimonFuhr237,2,Kyler Murray QB - ARI,20.62,Derrick Henry RB - BAL,8.20,D'Andre Swift RB - CHI,23.50,Derrick Henry RB - BAL,8.20,D'Andre Swift RB - CHI,23.50,Stefon Diggs WR - NE,18.20,Tee Higgins WR - CIN,2.70,Stefon Diggs WR - NE,18.20,Tee Higgins WR - CIN,2.70,Mark Andrews TE - BAL,5.20,-,0.00,Tyler Bass K - BUF,8.10,Buffalo Bills DEF - BUF,17.00,Tyler Lockett WR - TEN,2.80,JuJu Smith-Schuster WR - KC,5.90,Dallas Goedert TE - PHI,6.00,Courtland Sutton WR - DEN,7.20,Clyde Edwards-Helaire RB - KC,19.40,A.J. Dillon RB - PHI,15.10,-,0.00,164.02,lancemourdock,150.92
lancemourdock,3,Justin Herbert QB - LAC,23.26,Joe Mixon RB - HOU,14.50,Leonard Fournette RB,13.70,Joe Mixon RB - HOU,14.50,Leonard Fournette RB,13.70,Justin Jefferson WR - MIN,30.40,A.J. Brown WR - PHI,15.50,Justin Jefferson WR - MIN,30.40,A.J. Brown WR - PHI,15.50,T.J. Hockenson TE - MIN,3.80,-,0.00,Wil Lutz K - DEN,11.00,New Orleans Saints DEF - NO,4.00,DeAndre Hopkins WR - BAL,0.00,Dak Prescott QB - DAL,4.46,Damien Harris RB,5.80,Terry McLaurin WR - WAS,11.80,Hunter Renfrow WR - CAR,2.10,Breece Hall RB - NYJ,4.10,-,0.00,150.92,SimonFuhr237,164.02
LosSausages,6,Lamar Jackson QB - BAL,20.22,Austin Ekeler RB - WAS,7.20,Alvin Kamara RB - NO,4.60,Austin Ekeler RB - WAS,7.20,Alvin Kamara RB - NO,4.60,Davante Adams WR - LAR,20.10,Brandon Aiyuk WR - SF,4.70,Davante Adams WR - LAR,20.10,Brandon Aiyuk WR - SF,4.70,Dalton Schultz TE - HOU,6.20,-,0.00,Justin Tucker K,6.00,Baltimore Ravens DEF - BAL,11.00,Amari Cooper WR,1.70,Michael Thomas WR,17.70,Dawson Knox TE - BUF,0.50,Antonio Gibson RB - NE,13.00,Michael Carter RB - ARI,10.00,Green Bay Packers DEF - GB,1.00,-,0.00,128.82,theBIGLebronski,113.52
theBIGLebronski,7,Jalen Hurts QB - PHI,24.72,Dalvin Cook RB,10.80,Travis Etienne RB - JAX,6.50,Dalvin Cook RB,10.80,Travis Etienne RB - JAX,6.50,Tyreek Hill WR - MIA,10.00,Deebo Samuel WR - WAS,10.60,Tyreek Hill WR - MIA,10.00,Deebo Samuel WR - WAS,10.60,Kyle Pitts TE - ATL,1.90,-,0.00,Daniel Carlson K - LV,9.50,San Francisco 49ers DEF - SF,5.00,Robert Woods WR,1.30,Adam Thielen WR - MIN,3.60,DK Metcalf WR - PIT,1.60,J.K. Dobbins RB - DEN,0.00,Chase Claypool WR,5.40,Chris Olave WR - NO,6.10,-,0.00,113.52,LosSausages,128.82
ShamH,6,Patrick Mahomes QB - KC,17.30,Saquon Barkley RB - PHI,8.80,Rashaad Penny RB,1.50,Saquon Barkley RB - PHI,8.80,Rashaad Penny RB,1.50,Cooper Kupp WR - SEA,20.80,Mike Williams WR,17.30,Cooper Kupp WR - SEA,20.80,Mike Williams WR,17.30,Travis Kelce TE - KC,5.10,-,0.00,Cade York K,6.00,Cleveland Browns DEF - CLE,3.00,Brandin Cooks WR - NO,5.40,Kareem Hunt RB - KC,7.40,Gabe Davis WR - BUF,0.00,Darnell Mooney WR - ATL,-0.40,Jaylen Waddle WR - MIA,29.10,Dameon Pierce RB - HOU,7.70,-,0.00,134.10,theBIGLebronski,151.22
theBIGLebronski,3,Jalen Hurts QB - PHI,33.02,Dalvin Cook RB,3.60,James Robinson RB,13.80,Dalvin Cook RB,3.60,James Robinson RB,13.80,Tyreek Hill WR - MIA,31.00,Deebo Samuel WR - WAS,9.70,Tyreek Hill WR - MIA,31.00,Deebo Samuel WR - WAS,9.70,Kyle Pitts TE - ATL,1.90,-,0.00,Daniel Carlson K - LV,13.70,San Francisco 49ers DEF - SF,12.00,Robert Woods WR,3.90,Adam Thielen WR - MIN,5.20,DK Metcalf WR - PIT,3.50,J.K. Dobbins RB - DEN,0.00,Travis Etienne RB - JAX,5.30,Chris Olave WR - NO,6.00,-,0.00,151.22,ShamH,134.10
